id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
44,0.32425904273986816,MDNS,mdns,-,0,61,75,75,4.351224622608732e-08,1,1,600.0,600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
45,0.4155268669128418,TCP,tcp,0x0010,0,40,54,54,3.1328817273481045e-08,36,36,432.0,432.0,0,0,0.284813000,0.284813000,10.296067000,10.296067000,9,0,0,9,0.284813000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
46,0.5166690349578857,TCP,tcp,0x0010,0,40,54,54,3.132881727255288e-08,128,128,432.0,432.0,0,0,0.050929000,0.050929000,10.347133000,10.347133000,511,0,0,511,0.050929000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
47,0.447613000869751,TCP,tcp,0x0010,1,40,54,54,3.132881727002815e-08,41,41,432.0,432.0,0,0,0.292988000,0.292988000,10.297927000,10.297927000,23,1,1,23,0.292988000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
48,0.7025809288024902,TCP,tcp,0x0010,1,40,54,54,3.1328817269147386e-08,128,128,432.0,432.0,0,0,0.048303000,0.048303000,10.346385000,10.346385000,511,1,1,511,0.048303000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
49,0.25622057914733887,TLS,tls,0x0018,7,75,89,89,5.163453214426277e-08,128,128,712.0,712.0,0,0,0.001935000,0.001935000,9.796004000,9.796004000,510,7,7,510,0.001935000,False,True,44,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
50,0.40808844566345215,TLS,tls,0x0018,7,75,89,89,5.163453214098565e-08,128,128,712.0,712.0,0,0,0.017350000,0.017350000,9.905400000,9.905400000,510,7,7,510,0.017350000,False,True,44,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
51,0.43660569190979004,TCP,tcp,0x0010,7,40,54,54,3.132881725374133e-08,50,50,432.0,432.0,0,0,0.018698000,0.018698000,9.924098000,9.924098000,3718,7,7,3718,0.128094000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
52,0.46838808059692383,TCP,tcp,0x0010,7,40,54,54,3.1328817253488394e-08,50,50,432.0,432.0,0,0,0.013916000,0.013916000,9.938014000,9.938014000,3718,7,7,3718,0.141828000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
53,0.5363912582397461,TCP,tcp,0x0010,7,40,54,54,3.1328817251560216e-08,50,50,432.0,432.0,0,0,0.106085000,0.106085000,10.044099000,10.044099000,3718,7,7,3718,0.138699000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
54,0.5129704475402832,TCP,tcp,0x0010,6,40,54,54,3.132881724999847e-08,49,49,432.0,432.0,0,0,0.160789000,0.160789000,10.159222000,10.159222000,9,6,6,9,0.160789000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
55,0.5741524696350098,TCP,tcp,0x0010,6,40,54,54,3.132881724923175e-08,128,128,432.0,432.0,0,0,0.042083000,0.042083000,10.201406000,10.201406000,511,6,6,511,0.042083000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
56,0.5825440883636475,TCP,tcp,0x0010,8,40,54,54,3.1328817248432295e-08,44,44,432.0,432.0,0,0,0.199996000,0.199996000,10.198585000,10.198585000,9,8,8,9,0.199996000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
57,0.6434943675994873,TCP,tcp,0x0010,8,40,54,54,3.132881724754274e-08,128,128,432.0,432.0,0,0,0.047144000,0.047144000,10.247527000,10.247527000,512,8,8,512,0.047144000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
58,0.4148142337799072,TLS,tls,0x0018,5,272,286,286,1.6592669859186024e-07,128,128,2288.0,2288.0,0,0,0.001023000,0.001023000,11.996073000,11.996073000,510,5,5,510,0.001023000,False,True,143,143,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
59,0.3536350727081299,TCP,tcp,0x0010,5,40,54,54,3.1328817211920424e-08,232,232,432.0,432.0,0,0,0.259934000,0.259934000,12.256007000,12.256007000,771,5,5,771,0.259934000,False,True,27,27,0,0,1,1,1,1,1,1,0,0,0,1,1,0,,1
